MatchID,Winner,WinChance,Winner_mu,Winner_sigma,Looser,Looser_mu,Looser_sigma
2306765,Virtus.pro,0.574,28.11431424581608,0.8185051541738756,GODSENT,26.78993040040361,1.0428239739790273
2306766,Virtus.pro,0.587,28.188688387997136,0.8182521665000896,GODSENT,26.66967984413868,1.0369136951881885
2306761,Immortals,0.612,26.724401964418195,0.9220662298162938,NRG,24.81661273107565,0.9893932516886648
2306762,NRG,0.376,24.981110480721057,0.9834862008554414,Immortals,26.581377896218807,0.9181998630068793
2306370,OpTic,0.494,25.273192246111883,0.8374643916066874,CLG,25.167010522930394,0.8530851045403985
2306369,OpTic,0.507,25.365846070439765,0.8363693216071211,CLG,25.070902237263596,0.851618766703228
2306767,Virtus.pro,0.565,28.267102614268598,0.8178504743984412,G2,27.1225123660244,0.8166103998905918
2306768,Virtus.pro,0.576,28.343692993682133,0.8175055457290152,G2,27.046151687681864,0.8162924928685497
2306769,fnatic,0.582,28.151842151550788,0.8098028947299918,Astralis,26.74988668576989,0.8329707130988744
2306770,Astralis,0.408,26.86096368007711,0.8315471925811204,fnatic,28.046797727572077,0.8089471276987263
2306771,Virtus.pro,0.643,28.409008807897855,0.8175035525316221,Envy,26.086329986201886,0.813159951623359
2306772,Virtus.pro,0.651,28.472994183745293,0.8175449912172291,Envy,26.023015770588376,0.8132898422917384
2306773,FaZe,0.535,27.663271618552837,0.8435857681388587,G2,26.96293388179571,0.815802341415367
2306774,G2,0.454,27.060684730644596,0.8149831090740377,FaZe,27.55881920367441,0.8420965874588491
2306775,NIP,0.508,27.770087509949466,0.8115422651465634,FaZe,27.46529671374643,0.8408889412156145
2306899,Kinguin,0.217,24.077718418267327,1.6853687453867663,Dignitas,28.129329578282455,0.8080088848642668
2306776,NIP,0.52,27.85492159597052,0.8110929646821825,FaZe,27.3742813952789,0.8397655629599334
2306900,Renegades,0.377,23.877992733278738,0.9609358467204518,Cloud9,25.498528556911566,0.8094226384105685
2306777,Envy,0.461,26.118808472486695,0.8125538715878848,mousesports,26.50929730478238,0.8170398127069474
2306778,Envy,0.474,26.212102664055777,0.8118857063346295,mousesports,26.414980905566235,0.8162669505015175
2306901,FlipSid3,0.548,27.4873021190825,0.8360632327133766,GODSENT,26.54032695581575,1.0308209710635405
