"ID","Date","Event","Team 1","Team 2","Team 1 Odds","Team 2 Odds","Team 1 Score","Team 2 Score","Outcome","Team 1 Entries","Team 2 Entries","Team 1 Clutches","Team 2 Clutches","Team 1 Kills mean","Team 2 Kills mean","Team 1 Kills sd","Team 2 Kills sd","Team 1 Assists mean","Team 2 Assists mean","Team 1 Assists sd","Team 2 Assists sd","Team 1 HS mean","Team 2 HS mean","Team 1 HS sd","Team 2 HS sd","Team 1 Flashes mean","Team 2 Flashes mean","Team 1 Flashes sd","Team 2 Flashes sd","Team 1 Deaths mean","Team 2 Deaths mean","Team 1 Deaths sd","Team 2 Deaths sd","Team 1 KAST mean","Team 2 KAST mean","Team 1 KAST sd","Team 2 KAST sd","Team 1 K/D Diff mean","Team 2 K/D Diff mean","Team 1 K/D Diff sd","Team 2 K/D Diff sd","Team 1 ADR mean","Team 2 ADR mean","Team 1 ADR sd","Team 2 ADR sd","Team 1 FK Diff mean","Team 2 FK Diff mean","Team 1 FK Diff sd","Team 2 FK Diff sd","Team 1 Rating mean","Team 2 Rating mean","Team 1 Rating sd","Team 2 Rating sd","Team 1 KDA mean","Team 2 KDA mean","Team 1 KDA sd","Team 2 KDA sd","Team 1 HSpc mean","Team 2 HSpc mean","Team 1 HSpc sd","Team 2 HSpc sd"
2301961,2016-04-09,"ECS Season 1 Qualifier","G2","Gambit",NA,NA,3,0,1,14.667,9,1.667,0.667,18.4,13.133,3.902,3.695,3.8,3.533,2.014,1.978,10.133,6.333,3.968,3.115,NA,NA,NA,NA,13.2,18.4,1.946,1.561,0.792,0.583,0.063,0.101,5.2,-5.267,4.804,4.259,82.367,67.04,17.75,15.038,1.133,-1.133,2.015,2.383,1.301,0.811,0.276,0.212,1.727,0.916,0.529,0.236,0.54,0.47,0.136,0.166
2301998,2016-04-10,"ECS Season 1","Astralis","mousesports",NA,NA,2,1,1,13.667,9.333,1.667,0.333,15.733,15.2,4.794,4.784,2.8,3.333,1.194,2.108,7,5.467,4.22,2.428,NA,NA,NA,NA,15.2,15.733,2.204,1.473,0.67,0.674,0.092,0.067,0.533,-0.533,5.821,5.416,75.873,73.9,19.671,19.509,0.867,-0.867,1.553,2.237,1.134,1.003,0.282,0.242,1.416,1.382,0.496,0.558,0.446,0.363,0.19,0.123
2301997,2016-04-10,"ECS Season 1","Virtus.pro","Dignitas",NA,NA,1,2,2,15,11,1,1.333,19,17.333,5.758,6.284,4.6,4.2,2.335,1.389,5.933,7.867,2.38,4.2,NA,NA,NA,NA,17.4,19.133,2.091,1.859,0.763,0.647,0.084,0.09,1.6,-1.8,5.826,7.373,80.893,70.553,19.095,17.684,0.8,-0.867,2.128,2.481,1.192,0.957,0.244,0.308,1.647,1.125,0.486,0.401,0.318,0.429,0.101,0.19
2302041,2016-04-10,"ESEA Premier Season 21 Europe","HellRaisers","Empire",NA,NA,2,0,1,16,5.5,1.5,1,18.1,11.4,3.068,2.79,3.3,2.7,1.465,1.585,7.7,5.2,2.948,2.46,NA,NA,NA,NA,11.4,18.1,1.733,1.358,0.827,0.581,0.06,0.071,6.7,-6.7,3.65,3.935,87.34,61.58,16.245,14.978,2.1,-2.1,1.579,1.484,1.466,0.695,0.22,0.184,1.961,0.788,0.428,0.204,0.428,0.456,0.145,0.209
2301996,2016-04-10,"ECS Season 1","Envy","G2",NA,NA,2,1,1,16.333,12.667,1,2,20,19.867,5.093,6.936,4.267,3.933,1.757,1.336,9.4,10.2,2.912,5.269,NA,NA,NA,NA,20,20.067,1.714,1.749,0.666,0.706,0.058,0.11,0,-0.2,5.6,6.481,73.78,75.787,14.298,22.702,0.733,-0.733,2.238,2.819,1.039,1.068,0.197,0.309,1.233,1.389,0.28,0.409,0.475,0.498,0.115,0.161
2301965,2016-04-10,"CEVO Gfinity Professional Season 9","Dignitas","FlipSid3",NA,NA,2,1,1,11.667,14,1.333,1,19.467,16.667,5.494,6.257,3.6,3.467,1.822,1.964,9.6,7.133,2.793,1.914,NA,NA,NA,NA,16.667,19.467,2.674,1.824,0.737,0.622,0.081,0.113,2.8,-2.8,6.257,7.786,81.487,70.513,18.537,20.017,-0.467,0.467,1.835,3.578,1.176,0.932,0.294,0.371,1.439,1.061,0.39,0.477,0.51,0.464,0.121,0.148
2301994,2016-04-11,"Uprise Champions Cup Season 4","Gambit","AGG",NA,NA,2,1,1,18.333,11.333,2,2.333,21.067,20.267,4.677,4.957,4.8,4.667,2.27,2.393,8.533,8.933,3.449,3.905,NA,NA,NA,NA,20.267,21.267,1.215,2.17,0.707,0.679,0.083,0.065,0.8,-1,4.716,5.951,77.627,75.06,16.233,11.363,1.4,-1.4,2.643,2.485,1.092,1.012,0.243,0.183,1.3,1.183,0.274,0.286,0.425,0.43,0.152,0.128
2301928,2016-04-11,"Global Offensive Champions League Season 3","PENTA","E-frag.net",NA,NA,1,2,2,14.333,15.667,1.333,2.667,20.533,21,5.076,4.601,4.267,5.133,1.593,2.086,9.267,8.267,4.285,3.143,NA,NA,NA,NA,21.067,20.533,2.403,2.22,0.707,0.764,0.082,0.056,-0.533,0.467,6.583,5.969,72.9,77.593,20.105,10.724,-0.267,0.267,2.104,2.91,1.004,1.137,0.272,0.195,1.158,1.376,0.325,0.345,0.444,0.403,0.172,0.068
2302047,2016-04-12,"Operation: Kinguin #2","Gambit","PENTA",NA,NA,2,1,1,13.667,15,1,2,20.733,19.733,5.443,4.26,4.4,4.133,1.461,2.97,9,7.933,3.531,2.949,NA,NA,NA,NA,19.8,20.8,1.848,2.906,0.728,0.699,0.083,0.094,0.933,-1.067,5.126,4.998,78.053,75.393,15.715,15.335,-0.267,0.267,1.824,2.951,1.092,1.031,0.22,0.221,1.282,1.156,0.287,0.239,0.432,0.408,0.12,0.125
2302057,2016-04-12,"DreamHack Masters Malmö 2016","Luminosity","TYLOO",NA,NA,16,7,1,17,6,3,2,19.6,12.8,5.225,3.899,3,2.4,1.732,2.408,8.2,5.6,4.087,2.074,NA,NA,NA,NA,12.8,19.6,2.168,0.548,0.844,0.6,0.059,0.036,6.8,-6.8,4.764,4.438,87.36,67.4,28.892,13.855,2.2,-2.2,1.789,2.28,1.454,0.744,0.358,0.249,1.791,0.781,0.521,0.28,0.398,0.455,0.145,0.171
