MatchID,Team1,Team2,Team1Odds,Team2Odds,Winner,Team1winchance,Team2winchance,w_ts_after_game,l_ts_after_game,w_ts_before_game,l_ts_before_game
2340862,363,213,1.66,2.1,2,0.491,0.509,"trueskill.Rating(mu=27.145, sigma=0.803)","trueskill.Rating(mu=26.834, sigma=0.800)","trueskill.Rating(mu=27.060, sigma=0.804)","trueskill.Rating(mu=26.918, sigma=0.800)"
2340861,117,211,5.0,1.14,2,0.241,0.759,"trueskill.Rating(mu=28.269, sigma=0.804)","trueskill.Rating(mu=23.302, sigma=2.388)","trueskill.Rating(mu=28.228, sigma=0.803)","trueskill.Rating(mu=23.691, sigma=2.471)"
2340863,594,652,4.5,1.16,2,0.07099999999999995,0.929,"trueskill.Rating(mu=28.737, sigma=0.804)","trueskill.Rating(mu=16.615, sigma=4.948)","trueskill.Rating(mu=28.725, sigma=0.800)","trueskill.Rating(mu=17.120, sigma=5.223)"
2340836,137,560,3.0,1.36,2,0.47,0.53,"trueskill.Rating(mu=27.491, sigma=0.823)","trueskill.Rating(mu=26.874, sigma=0.796)","trueskill.Rating(mu=27.405, sigma=0.824)","trueskill.Rating(mu=26.954, sigma=0.796)"
2340837,149,115,2.1,1.66,2,0.5740000000000001,0.426,"trueskill.Rating(mu=25.522, sigma=0.803)","trueskill.Rating(mu=26.443, sigma=0.809)","trueskill.Rating(mu=25.422, sigma=0.803)","trueskill.Rating(mu=26.545, sigma=0.810)"
2340838,632,247,1.28,3.5,1,0.687,0.31299999999999994,"trueskill.Rating(mu=28.699, sigma=0.796)","trueskill.Rating(mu=25.276, sigma=1.927)","trueskill.Rating(mu=28.646, sigma=0.795)","trueskill.Rating(mu=25.599, sigma=1.977)"
2340932,301,172,1.1,6.5,2,0.661,0.339,"trueskill.Rating(mu=26.201, sigma=0.795)","trueskill.Rating(mu=28.466, sigma=0.798)","trueskill.Rating(mu=26.085, sigma=0.796)","trueskill.Rating(mu=28.582, sigma=0.799)"
2340933,67,313,3.0,1.36,2,0.13,0.87,"trueskill.Rating(mu=27.586, sigma=0.813)","trueskill.Rating(mu=19.425, sigma=3.259)","trueskill.Rating(mu=27.563, sigma=0.810)","trueskill.Rating(mu=19.834, sigma=3.401)"
2340934,192,584,1.05,8.5,1,0.782,0.21799999999999997,"trueskill.Rating(mu=27.575, sigma=0.856)","trueskill.Rating(mu=18.813, sigma=5.716)","trueskill.Rating(mu=27.543, sigma=0.854)","trueskill.Rating(mu=20.634, sigma=6.548)"
2341011,213,149,2.0,1.72,2,0.5469999999999999,0.453,"trueskill.Rating(mu=26.539, sigma=0.808)","trueskill.Rating(mu=27.050, sigma=0.803)","trueskill.Rating(mu=26.443, sigma=0.809)","trueskill.Rating(mu=27.145, sigma=0.803)"
2340881,634,348,1.2,4.33,2,0.651,0.349,"trueskill.Rating(mu=24.817, sigma=1.701)","trueskill.Rating(mu=26.581, sigma=0.859)","trueskill.Rating(mu=24.292, sigma=1.750)","trueskill.Rating(mu=26.709, sigma=0.861)"
2340880,219,483,2.75,1.4,2,0.54,0.46,"trueskill.Rating(mu=25.761, sigma=0.889)","trueskill.Rating(mu=25.283, sigma=2.641)","trueskill.Rating(mu=25.656, sigma=0.890)","trueskill.Rating(mu=26.321, sigma=2.814)"
2341013,213,49,1.28,3.5,2,0.778,0.222,"trueskill.Rating(mu=26.722, sigma=4.942)","trueskill.Rating(mu=26.951, sigma=0.804)","trueskill.Rating(mu=20.323, sigma=6.481)","trueskill.Rating(mu=27.050, sigma=0.803)"
2341014,213,137,1.9,1.8,2,0.505,0.495,"trueskill.Rating(mu=26.960, sigma=0.796)","trueskill.Rating(mu=26.863, sigma=0.804)","trueskill.Rating(mu=26.874, sigma=0.796)","trueskill.Rating(mu=26.951, sigma=0.804)"
