ID,Team.1.Odds,Team.2.Odds,Outcome,Prob.Team.1,Prob.Team.2,prediction,TK1,TK2
2347936,3.249999999999997,1.3300000000000005,1,0.544,0.456,1,0.03,0.0
2324337,1.4000000000000001,2.749999999999997,1,0.372,0.628,2,0.0,0.04
2321814,1.9000000000000008,1.7999999999999985,1,0.266,0.734,2,0.0,0.04
2322777,2.0,1.7200000000000009,1,0.628,0.372,1,0.03,0.0
2316146,1.4999999999999993,2.5,1,0.498,0.502,2,0.0,0.02
2327843,2.1999999999999975,1.6100000000000008,1,0.406,0.594,2,0.0,0.0
2330346,1.9000000000000008,1.7999999999999985,2,0.33,0.67,2,0.0,0.03
2322815,1.4999999999999993,2.5,1,0.518,0.482,1,0.0,0.01
2338369,1.8300000000000003,1.8300000000000003,1,0.468,0.532,2,0.0,0.0
2316387,2.5,1.4999999999999993,2,0.464,0.536,2,0.01,0.0
2335492,1.7200000000000009,2.0,2,0.622,0.378,1,0.01,0.0
2317642,1.440000000000001,2.62,2,0.502,0.498,1,0.0,0.02
2336322,2.749999999999997,1.4000000000000001,2,0.374,0.626,2,0.0,0.0
2331058,1.6100000000000008,2.1999999999999975,1,0.446,0.554,2,0.0,0.02
2344407,1.5300000000000002,2.370000000000001,2,0.48,0.52,2,0.0,0.02
2316931,3.249999999999997,1.3300000000000005,1,0.474,0.526,2,0.02,0.0
2318180,2.5,1.4999999999999993,2,0.338,0.662,2,0.0,0.0
2339152,2.250000000000002,1.5699999999999992,1,0.436,0.564,2,0.0,0.0
2334336,1.7200000000000009,2.0,1,0.436,0.564,2,0.0,0.01
2314023,3.249999999999997,1.3300000000000005,2,0.442,0.558,2,0.02,0.0
2342189,1.08,6.999999999999992,2,0.582,0.418,1,0.0,0.03
2345228,1.0600000000000003,8.0,2,0.532,0.468,1,0.0,0.04
2344440,1.5699999999999992,2.250000000000002,1,0.856,0.144,1,0.06,0.0
2336859,1.4999999999999993,2.5,2,0.526,0.474,1,0.0,0.01
2345214,2.0,1.7200000000000009,2,0.49,0.51,2,0.0,0.0
2330824,1.3300000000000005,3.249999999999997,1,0.88,0.12,1,0.05,0.0
2317572,2.0,1.7200000000000009,2,0.458,0.542,2,0.0,0.0
2334816,1.1600000000000006,4.500000000000004,1,0.878,0.122,1,0.01,0.0
2338429,1.440000000000001,2.62,1,0.556,0.444,1,0.0,0.01
2327473,1.4999999999999993,2.5,2,0.588,0.412,1,0.0,0.0
2340743,1.7200000000000009,2.0,2,0.426,0.574,2,0.0,0.01
2321300,1.4000000000000001,2.749999999999997,1,0.76,0.24,1,0.02,0.0
2321674,1.3599999999999994,3.0000000000000027,1,0.598,0.402,1,0.0,0.01
2345212,4.0,1.22,2,0.222,0.778,2,0.0,0.0
2331591,1.3000000000000005,3.3999999999999946,1,0.894,0.106,1,0.05,0.0
2319663,1.22,4.0,1,0.804,0.196,1,0.0,0.0
2336443,1.5300000000000002,2.370000000000001,2,0.718,0.282,1,0.02,0.0
2317120,4.500000000000004,1.1600000000000006,2,0.3,0.7,2,0.01,0.0
2316798,1.7999999999999985,1.9000000000000008,2,0.658,0.342,1,0.02,0.0
2336862,2.370000000000001,1.5300000000000002,2,0.47,0.53,2,0.01,0.0
2334884,1.5699999999999992,2.250000000000002,2,0.498,0.502,2,0.0,0.01
2322022,1.4000000000000001,2.749999999999997,1,0.522,0.478,1,0.0,0.02
2346214,1.8300000000000003,1.8300000000000003,1,0.404,0.596,2,0.0,0.01
2316693,1.8300000000000003,1.8300000000000003,1,0.578,0.422,1,0.01,0.0
2343943,3.3999999999999946,1.3000000000000005,2,0.136,0.864,2,0.0,0.04
2334920,2.5,1.4999999999999993,2,0.51,0.49,1,0.02,0.0
2324768,1.440000000000001,2.62,1,0.658,0.342,1,0.0,0.0
2327388,1.3599999999999994,3.0000000000000027,1,0.836,0.164,1,0.04,0.0
2332308,1.0400000000000005,9.000000000000009,1,0.8,0.2,1,0.0,0.01
2337318,1.6599999999999995,2.1000000000000005,1,0.48,0.52,2,0.0,0.01
